,X,Site,Elevation,Habitat,degree,species.strength,nestedrank,PDI,resource.range,PSI,betweenness,weighted.betweenness,closeness,weighted.closeness,effective.partners,proportional.similarity,d,Clase,Family,Genus,species,X.y,Fruit_Weight,Fruit_length,Fruit_Width,Seed_Weight,Seed_length,Seed_width,nFruits,nSeed,Plant_Heigth,rlq1,rlq2,rlq1W,rlq2W
123,Mic_303,Bellavista,3000,B_Dis,3,0.7625,0.136363636363636,0.966666666666667,0.866666666666667,1,0.065767973856209,0.186440677966102,0.060080106809079,0.029081467056151,2.3811015779523,0.34,0.424154194482593,Plant,Melastomataceae,Miconia,303,123,0.018,2.34,2.76,0.001,0.4,0.4,150,15,4,1.01349645648654,0.185627322708718,1.34774047654826,0.651747938314437
124,Mic_304,Bellavista,3000,B_Dis,1,0.5,0.454545454545455,1,1,1,0,0,0.035714285714286,0.027991252733521,1,0.08,0.705012573880876,Plant,Melastomataceae,Miconia,304,124,0.044266667,3.853333333,3.953333333,0.002,0.86,0.38,30,35,7,0.407103741694301,1.32569598931369,1.47093612769279,-1.04131058010296
125,Mic_305,Bellavista,3000,B_Dis,1,0.2,0.863636363636364,1,1,1,0,0,0.042723631508678,0.01620546210888,1,0.066666666666667,0.41951797627816,Plant,Melastomataceae,Miconia,305,103,0.153666667,4.366666667,4.383333333,0.001,0.5,0.3,25,5,5.5,0.311610775376189,0.583165175071781,0.715834387648428,-0.403426901346522
126,Mor_pub,Bellavista,3000,B_Dis,2,0.479166666666667,0.181818181818182,0.986666666666667,0.933333333333333,1,0.176470588235294,0.135593220338983,0.055407209612817,0.037950021177467,1.5691925832142,0.293333333333333,0.387702268903704,Plant,Myricaceae,Morella,pubescens,126,0.0376,3.62,3.9,0.014,2.833333333,2.233333333,75,1,6,0.528857967671397,0.898665520860067,1.30767764021106,-0.468277428368617
127,Myr_300,Bellavista,3000,B_Dis,1,0.125,0.909090909090909,1,1,1,0,0,0.044726301735648,0.014345180915786,1,0.106666666666667,0.25,Plant,Urticaceae,Myriocarpa,300,127,0.004,2.18,2.58,0.001,1.35,0.35,200,75,5,0.989604488381217,0.669206723455054,1.6754266752856,0.112068016635027
128,Oco_300,Bellavista,3000,B_Dis,1,0.4,0.636363636363636,1,1,1,0,0,0.038050734312417,0.015387257427443,1,0.066666666666667,0.631257483273133,Plant,Lauracea,Ocotea,300,128,0.012266667,3.273333333,2.073333333,0.002,1.2,0.92,10,3,4,0.986165281515114,0.064859596894753,1.29419112077715,0.63299646541994
129,Ore_301,Bellavista,3000,B_Dis,2,1.22222222222222,0.227272727272727,0.955555555555556,0.933333333333333,1,0,0,0.045393858477971,0.02414443546214,1.96013170420779,0.16,0.717086542432388,Plant,Araliaceae,Oreopanax,301,129,0.03808,4.28,3.48,0.0492,6.74,3.84,500,50,8,0.338627911069766,1.73345244177837,1.71669566457532,-1.61015248488091
130,Pal_300,Bellavista,3000,B_Dis,1,0.0625,0.954545454545455,1,1,1,0,0,0.051401869158879,0.016864295125165,1,0.213333333333333,0,Plant,Rubiacea,Palicurea,300,130,0.4468,10.18,8,0.154,7.6,4,75,1,3,-0.947241772529221,-1.41082268061147,-2.30505586695011,0.537662664001145
131,Rub_300,Bellavista,3000,B_Dis,5,2.3875,0,0.911111111111111,0.733333333333333,1,0.216911764705882,0.135593220338983,0.062082777036048,0.020442619210586,4.37136934400712,0.36952380952381,0.539583764135293,Plant,Rosaceae,Rubus,300,131,0.0248,3.166666667,3.126666667,0.0064,2.44,1.66,36,1,4,0.85503359533965,0.058819572555444,1.09876843674801,0.650141095977912
132,Sch_300,Bellavista,3000,B_Dis,1,1,0.681818181818182,1,1,1,0,0,0,NA,1,0.026666666666667,1,Plant,Araliaceae,Schefflera,300,132,5.166666667,20.46,21.46666667,0.0492,6.74,3.84,200,75,6,-8.27090186892704,-0.438212174293378,-15.6933933541284,-10.1001313128372
133,Sch_acu,Bellavista,3000,B_Dis,4,2.18055555555556,0.045454545454546,0.946666666666667,0.8,1,0.128676470588235,0.097928436911488,0.056742323097463,0.024744545705606,3.15522464708129,0.32,0.647721163076878,Plant,Araliaceae,Schefflera,cf acuminata,133,0.392,8.9,9.8,0.0352,4.36,3.52,340,13,3,-0.965150560868332,-1.28447749155362,-2.26121500202892,0.723120467731088
134,Tou_300,Bellavista,3000,B_Dis,1,0.111111111111111,1,1,1,1,0,0,0.045393858477971,0.016258392306297,1,0.12,0.207518749639422,Plant,Boraginaceae,Tournefoutia,300,134,0.341090909,6.609090909,8.92,0.0444,4.74,4.16,10,3,3,-0.515788202131811,-0.945889503047979,-1.5312062019975,0.797249549518261
